evmTokenAddress,evmReceiverAddress,source,amount,formattedAmount,sudtArgs,transferTxHash
0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,BSC,200000000000000000,0.2 BNB|bsc,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x0c7ebc31367f7a2b969c8987c13d500c09884f0ee493e00e28cde46f8167581c
0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,Ethereum,1250000000000000000,1.25 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x64bf4691436cfad2e161474a891740d099d7e5cb83b1e5e48530bcb4c374ca2d
0x0000000000000000000000000000000000000000,0xc5ba95d8d7a85b89b8496a736cca9d95d0450d8e,Ethereum,43154798074440168390,43.15479807444016839 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x8732f61c88f5c4bf1f5a0c838176c0e6a537ec843dccdfdb49be9aa2305d8199
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xc5ba95d8d7a85b89b8496a736cca9d95d0450d8e,Ethereum,24814096692,24814.096692 USDC|eth,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xa8b0609d523b824a777340e119e7006723ae99ddd6891feb2a9be0319d9212f2
