source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 BNB|bsc,300000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xf981466a9a55841afd12ae38157be239ee84fcecad330e38440f4cac527214d8,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,2.0 ETH|eth,2000000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xf981466a9a55841afd12ae38157be239ee84fcecad330e38440f4cac527214d8,
Ethereum,0x0000000000000000000000000000000000000000,0xc5ba95d8d7a85b89b8496a736cca9d95d0450d8e,5.632445467639867521 ETH|eth,5632445467639867521,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7dec22daeaae1ffc6ad97c415bde3e599a8e7c40eb1931abbaadef409a531e41,
BSC,0x0000000000000000000000000000000000000000,0xa4acd1fa5d70bd5a6ad358a9f156d920cb207c6a,2.5 BNB|bsc,2500000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x6c0cd7355ff4ce1e8184628c5c754ca878750a6176731ca28cda6bcd14ca08e6,
