source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x0000000000000000000000000000000000000000,0x11af340398c8c8213d3780ef422b4a9a59765846,0.000000080622631037 ETH|eth,80622631037,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xff5b5792d3e30ac2d85817a3641684a6377d5583bfe857f8dd7d4bd0082f0d47,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x11af340398c8c8213d3780ef422b4a9a59765846,287.798337 USDC|eth,287798337,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xff5b5792d3e30ac2d85817a3641684a6377d5583bfe857f8dd7d4bd0082f0d47,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x11af340398c8c8213d3780ef422b4a9a59765846,282.181827 USDC|eth,282181827,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xff5b5792d3e30ac2d85817a3641684a6377d5583bfe857f8dd7d4bd0082f0d47,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x11af340398c8c8213d3780ef422b4a9a59765846,548.551638 USDC|eth,548551638,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xff5b5792d3e30ac2d85817a3641684a6377d5583bfe857f8dd7d4bd0082f0d47,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,945.005859 USDC|eth,945005859,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x057169a2fa4e987ed1234c7a76f14af0b5bd45e2361e90eebe5d99d157176932,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,3000.0 USDC|eth,3000000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x057169a2fa4e987ed1234c7a76f14af0b5bd45e2361e90eebe5d99d157176932,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1000.0 USDC|eth,1000000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x057169a2fa4e987ed1234c7a76f14af0b5bd45e2361e90eebe5d99d157176932,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1500.0 USDC|eth,1500000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x057169a2fa4e987ed1234c7a76f14af0b5bd45e2361e90eebe5d99d157176932,
