evmTokenAddress,evmReceiverAddress,source,amount,formattedAmount,sudtArgs,transferTxHash
0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0x5fb45a090fa369bf17079c3c138ee2419caad38e,BSC,4000000000000000,0.004 BTCB|bsc,0x9ea7beb4a36469e00bb30dbac75e93672441b483d519556ba9d1424b9294eae5,
0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,Ethereum,1520000000000000000,1.52 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x5fb45a090fa369bf17079c3c138ee2419caad38e,Ethereum,200000,0.002 WBTC|eth,0x0a2117bce7a84cac80e7c5971919d12987e4da58f79e010c6c2f58c7d6e687e1,
