source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
BSC,0x0000000000000000000000000000000000000000,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,0.055644032331935875 BNB|bsc,55644032331935875,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x3ec337651b99289f84c681d3d373c3ef2bff326f9b0b6cd667c4c5a5b468aaa7,
Ethereum,0x0000000000000000000000000000000000000000,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,0.030125292300445258 ETH|eth,30125292300445258,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x3ec337651b99289f84c681d3d373c3ef2bff326f9b0b6cd667c4c5a5b468aaa7,
Ethereum,0x0000000000000000000000000000000000000000,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,0.043001559056106513 ETH|eth,43001559056106513,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x3ec337651b99289f84c681d3d373c3ef2bff326f9b0b6cd667c4c5a5b468aaa7,
Ethereum,0x0000000000000000000000000000000000000000,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,0.000000036908014515 ETH|eth,36908014515,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x3ec337651b99289f84c681d3d373c3ef2bff326f9b0b6cd667c4c5a5b468aaa7,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,14.608183 USDC|eth,14608183,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x3ec337651b99289f84c681d3d373c3ef2bff326f9b0b6cd667c4c5a5b468aaa7,
