source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.25 ETH|eth,250000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xd160070cc3d33772032fd8de82b5f919c0aaac6c68145779af2f2119893a814a,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1.05 ETH|eth,1050000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xd160070cc3d33772032fd8de82b5f919c0aaac6c68145779af2f2119893a814a,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.31 ETH|eth,310000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xd160070cc3d33772032fd8de82b5f919c0aaac6c68145779af2f2119893a814a,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1.7 ETH|eth,1700000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xd160070cc3d33772032fd8de82b5f919c0aaac6c68145779af2f2119893a814a,
Ethereum,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.001 USDT|eth,1000,0x1b89ae72b96c4f02fa7667ab46febcedf9b495737752176303ddd215d66a615a,0xd160070cc3d33772032fd8de82b5f919c0aaac6c68145779af2f2119893a814a,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 BNB|bsc,300000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xd160070cc3d33772032fd8de82b5f919c0aaac6c68145779af2f2119893a814a,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 BNB|bsc,300000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xd160070cc3d33772032fd8de82b5f919c0aaac6c68145779af2f2119893a814a,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.5 BNB|bsc,500000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xd160070cc3d33772032fd8de82b5f919c0aaac6c68145779af2f2119893a814a,
