evmTokenAddress,evmReceiverAddress,source,amount,formattedAmount,sudtArgs,transferTxHash
0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,BSC,1100000000000000000,1.1 BNB|bsc,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,
0x0000000000000000000000000000000000000000,0xa4acd1fa5d70bd5a6ad358a9f156d920cb207c6a,BSC,2500000000000000000,2.5 BNB|bsc,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,
0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,Ethereum,3310000000000000000,3.31 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x5fb45a090fa369bf17079c3c138ee2419caad38e,Ethereum,1000,0.001 USDT|eth,0x1b89ae72b96c4f02fa7667ab46febcedf9b495737752176303ddd215d66a615a,
