evmTokenAddress,evmReceiverAddress,source,amount,formattedAmount,sudtArgs,transferTxHash
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x11af340398c8c8213d3780ef422b4a9a59765846,Ethereum,1161933442,1161.933442 USDC|eth,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x22fb215c7ed8b34362eb439ca6161912bd0dc1ddd77e340d3b6ac92413be2eee
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,Ethereum,5000000000,5000.0 USDC|eth,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xcb66cbb363117ab3dc39a38d8445a45741911a54a8b69dbe40e67c45bef25e51
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x6b6311a94d5b65ff52498d68fabab61e004e4a97,Ethereum,287183685,287.183685 USDC|eth,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xa5056e6654c9f6bf6f2a6f4d0c3d7bf2e81c247f606dd68ece2755de1be29f14
