source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.01 WBTC|eth,1000000,0x0a2117bce7a84cac80e7c5971919d12987e4da58f79e010c6c2f58c7d6e687e1,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x4778b944163e5325c8e094908ade2e63cb572ab6b010253168f7ba6ec69ecaa2
Ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.004 WBTC|eth,400000,0x0a2117bce7a84cac80e7c5971919d12987e4da58f79e010c6c2f58c7d6e687e1,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x4778b944163e5325c8e094908ade2e63cb572ab6b010253168f7ba6ec69ecaa2
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.7 BNB|bsc,700000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x755dac9f467865243f5faa3bd84fecd8393d20bacafc8b2fb99fdd2eddce56a6
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.0251 BNB|bsc,25100000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x755dac9f467865243f5faa3bd84fecd8393d20bacafc8b2fb99fdd2eddce56a6
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.074933980887935183 BNB|bsc,74933980887935183,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x755dac9f467865243f5faa3bd84fecd8393d20bacafc8b2fb99fdd2eddce56a6
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,100.0 USDC|eth,100000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0xd37913bddad2f8584cb1b065b3710020765bad8cdc022cc24cb362a1db77fd9b
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1645.594831 USDC|eth,1645594831,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0xd37913bddad2f8584cb1b065b3710020765bad8cdc022cc24cb362a1db77fd9b
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,501.684205 USDC|eth,501684205,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0xd37913bddad2f8584cb1b065b3710020765bad8cdc022cc24cb362a1db77fd9b
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1111.85909 USDC|eth,1111859090,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0xd37913bddad2f8584cb1b065b3710020765bad8cdc022cc24cb362a1db77fd9b
BSC,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.003 BTCB|bsc,3000000000000000,0x9ea7beb4a36469e00bb30dbac75e93672441b483d519556ba9d1424b9294eae5,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0xc7fc363b4ca42a68a3c82781b4d48ff48893ea85b641c1c12de98a3166dcc015
BSC,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.003 BTCB|bsc,3000000000000000,0x9ea7beb4a36469e00bb30dbac75e93672441b483d519556ba9d1424b9294eae5,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0xc7fc363b4ca42a68a3c82781b4d48ff48893ea85b641c1c12de98a3166dcc015
BSC,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.001 BTCB|bsc,1000000000000000,0x9ea7beb4a36469e00bb30dbac75e93672441b483d519556ba9d1424b9294eae5,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0xc7fc363b4ca42a68a3c82781b4d48ff48893ea85b641c1c12de98a3166dcc015
Ethereum,0x0000000000000000000000000000000000000000,0x59b17ab7bf007a202fd9977e934134cb739b0faa,10.0 ETH|eth,10000000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xd460801644ad9b1fb2cf5748f410372719ba6421be217172ded27aa72e4f3307,0xd3df78e63a73f2225b540174c7c97d512950d6c0a1263adbf601c69e90a510e0
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x2ee932768754c9193649d9c097bacd4a8bb346b5,1455.073636 USDC|eth,1455073636,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x452d89e79b936a76aa61a89579fdfd5f30d507015eb4647563bd069fa0bb156b,0xdd9e7bd914aa55917a709f562118f52ca51388232106ec95adb5c9dd7bbd1c96
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x8954e92ed3f91d0d05495060f78e223bcc10eb5b,6141.637796 USDC|eth,6141637796,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x8592a118ddc6c75d7974d329b66556cb89f10f13ead72c9dd7b4d88eb35dd4bc,0x85329aeccfc4b8f01538c53c2ed029c2144790135c24e4825e50843519fba53e
