source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xabaf75a934e8b4da85db7c79a9e8c5a0022a1660,3.911461 USDT|eth,3911461,0x1b89ae72b96c4f02fa7667ab46febcedf9b495737752176303ddd215d66a615a,0xdd3ff65bfc737d1a6bbc4c5b014f7040c33e3f68f865e69c8e9994323d6ee429,0xd656500545e63a6cbd7d4f4a111f838073cc3be757d19a12d65d6b1edd996080
Ethereum,0x0000000000000000000000000000000000000000,0xd7a1c535965aa05a422b44c99921371f58807fae,3.68700000000000008 ETH|eth,3687000000000000080,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xc48e0dfb3dafb1babaa89ec4dc4907a2e0a3b1957175f88ebda7409d62cf2153,0xd93e05bcf44ae62fb6073b8aa838c369c35fe94c21ad5d67701963744db1c389
BSC,0x0000000000000000000000000000000000000000,0xd7a1c535965aa05a422b44c99921371f58807fae,6.210000000000000256 BNB|bsc,6210000000000000256,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xc48e0dfb3dafb1babaa89ec4dc4907a2e0a3b1957175f88ebda7409d62cf2153,0xab50a9ba7567035f83f16c06148253b5e8612d274e24850714f841378fe4e466
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 ETH|eth,300000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.5 ETH|eth,500000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 ETH|eth,100000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 ETH|eth,100000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1.029 ETH|eth,1029000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 ETH|eth,300000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1882 ETH|eth,188200000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 ETH|eth,100000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.9 ETH|eth,900000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 ETH|eth,100000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x7f2a89857a3827707c5e79cbbba906b7b6b8ed8b99c95dd3222519a00a7d6da3,0x5dddf9649f44039b9bdd7092c41c6a68be97ca992f9532ef3868a679eb3ae024
