evmTokenAddress,evmReceiverAddress,source,amount,formattedAmount,sudtArgs,transferTxHash
0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,BSC,300000000000000000,0.3 BNB|bsc,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xf45f7fa54fdf8a94b380b266a6978c91a57721fb0e6584bd22c227ecf2b686b5
0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,Ethereum,3650000000000000000,3.65 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x5aacdf199da0fc07d6d972f7a8368189a7d461994a1eae469f128774d190df00
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x06c8376847f064c6bc4eb249742eedd0aa95e147,Ethereum,84910082,84.910082 USDC|eth,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x652f57e091d77797fe4804a96db39542f695c1f42ff9bf0d944c15db65b8001d
