source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.003 WBTC|eth,300000,0x0a2117bce7a84cac80e7c5971919d12987e4da58f79e010c6c2f58c7d6e687e1,0xeeee9c870ac919814859835df58c30bf2c3800b2a26b5d87e6a0444257e74179,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.7 ETH|eth,700000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xeeee9c870ac919814859835df58c30bf2c3800b2a26b5d87e6a0444257e74179,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1.5 ETH|eth,1500000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xeeee9c870ac919814859835df58c30bf2c3800b2a26b5d87e6a0444257e74179,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.1 BNB|bsc,100000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xeeee9c870ac919814859835df58c30bf2c3800b2a26b5d87e6a0444257e74179,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1819.091097 USDC|eth,1819091097,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xeeee9c870ac919814859835df58c30bf2c3800b2a26b5d87e6a0444257e74179,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,3000.0 USDC|eth,3000000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xeeee9c870ac919814859835df58c30bf2c3800b2a26b5d87e6a0444257e74179,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,2242.230977 USDC|eth,2242230977,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xeeee9c870ac919814859835df58c30bf2c3800b2a26b5d87e6a0444257e74179,
