source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,3505.464432 USDC|eth,3505464432,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xc2ab124ec3183a15e6cd71a1a5c465e5d6d19f2f2115cd9f7b73879b8a872307,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1372.333568 USDC|eth,1372333568,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xc2ab124ec3183a15e6cd71a1a5c465e5d6d19f2f2115cd9f7b73879b8a872307,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.25 ETH|eth,250000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xc2ab124ec3183a15e6cd71a1a5c465e5d6d19f2f2115cd9f7b73879b8a872307,
