source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x0000000000000000000000000000000000000000,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,3.007284933267502547 ETH|eth,3007284933267502547,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xdef934066136a347ad6e2468f4ba383af3bda76cfc387db753c54e4106aac85a,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,200.0 USDC|eth,200000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xdef934066136a347ad6e2468f4ba383af3bda76cfc387db753c54e4106aac85a,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,77.0 USDC|eth,77000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xdef934066136a347ad6e2468f4ba383af3bda76cfc387db753c54e4106aac85a,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,20000.0 USDC|eth,20000000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xdef934066136a347ad6e2468f4ba383af3bda76cfc387db753c54e4106aac85a,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,28892.192647 USDC|eth,28892192647,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xdef934066136a347ad6e2468f4ba383af3bda76cfc387db753c54e4106aac85a,
BSC,0x0000000000000000000000000000000000000000,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,10.204727728134739069 BNB|bsc,10204727728134739069,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xdef934066136a347ad6e2468f4ba383af3bda76cfc387db753c54e4106aac85a,
