evmTokenAddress,evmReceiverAddress,source,amount,formattedAmount,sudtArgs,transferTxHash
0x0000000000000000000000000000000000000000,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,BSC,10204727728134739069,10.204727728134739069 BNB|bsc,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xccfaed69f84f5073168ffdde4d348703491e4d36986834b87bbf30fd6c64015d
0x0000000000000000000000000000000000000000,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,Ethereum,3007284933267502547,3.007284933267502547 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x1d274761aa006e14653ed33ffbd9b668b940f7ce625b65a52bc372bf5760b255
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3e37c65327edd7943c0d8e58ffc713304dc8bf49,Ethereum,49181689453,49181.689453 USDC|eth,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0xbb2eb7f5651742db99ec20fefc8098871ae399fdb482750556e66b045f81ea9d
0xdAC17F958D2ee523a2206206994597C13D831ec7,0x56eb570036882b3d5e21a8be31e69d750c5e4c8b,Ethereum,8830416,8.830416 USDT|eth,0x1b89ae72b96c4f02fa7667ab46febcedf9b495737752176303ddd215d66a615a,0xddba99404a4b55ec0eeb21bbea28765ae52fb8a25672fc2e4fdd0b259368c527
