evmTokenAddress,evmReceiverAddress,source,amount,formattedAmount,sudtArgs,transferTxHash
0x0000000000000000000000000000000000000000,0x6b6311a94d5b65ff52498d68fabab61e004e4a97,BSC,389010568587093106,0.389010568587093106 BNB|bsc,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xbeebeedda645ec36cea8507f71e466c20cfb40c6bf7fe348b9b0fe783856af56
0x0000000000000000000000000000000000000000,0xa4acd1fa5d70bd5a6ad358a9f156d920cb207c6a,BSC,3000000000000000000,3.0 BNB|bsc,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0xb5a89b5435a495f5c8f3fdc7f3659bf57033e426c484b6c61a5893c7ad62992d
0x0000000000000000000000000000000000000000,0x5035b1cbe730ee6908afcd8522641eb024ed7417,Ethereum,140000000000000,0.00014 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xf7514490c6ac62089450ef4cf3dc972477bb6f8981edb8758a2cfa2a18239d4f
0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,Ethereum,3800000000000000000,3.8 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x6bca06e69a788caf9b9476854cab420e3859e5f88722f82fc02469a6937f7408
0x0000000000000000000000000000000000000000,0xa4acd1fa5d70bd5a6ad358a9f156d920cb207c6a,Ethereum,1500000000000000000,1.5 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x10c92e238eccf25e6ac86d6cca7898e54bbaf1c1139141ffbf71ae99d6ff7fee
0x0000000000000000000000000000000000000000,0xdfe7932ec38c5919ff1cbe2717328b892ed18df7,Ethereum,102102086907649986,0.102102086907649986 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0xf886828895f711a5e0e8fe329dd2fdc847342500d0f6f21aeb97e8456d146477
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xa4acd1fa5d70bd5a6ad358a9f156d920cb207c6a,Ethereum,5000000,0.05 WBTC|eth,0x0a2117bce7a84cac80e7c5971919d12987e4da58f79e010c6c2f58c7d6e687e1,0x56cecaa37da682c673085942229b40ff834a9035aa4b6e9ed491a483c8d875c8
