source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1.0 ETH|eth,1000000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x1544bff37ce037cfe0585f185f7036ec6c11390887dbeb70fada372e0eceb69a,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.7 ETH|eth,700000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x1544bff37ce037cfe0585f185f7036ec6c11390887dbeb70fada372e0eceb69a,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 ETH|eth,200000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x1544bff37ce037cfe0585f185f7036ec6c11390887dbeb70fada372e0eceb69a,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.2 BNB|bsc,200000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x1544bff37ce037cfe0585f185f7036ec6c11390887dbeb70fada372e0eceb69a,
