evmTokenAddress,evmReceiverAddress,source,amount,formattedAmount,sudtArgs,transferTxHash
0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,BSC,300000000000000000,0.3 BNB|bsc,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,
0x0000000000000000000000000000000000000000,0xb06d09140406579b180015cb8e51dce457c43900,BSC,87820127447107558,0.087820127447107558 BNB|bsc,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,
0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0x5fb45a090fa369bf17079c3c138ee2419caad38e,BSC,1000000000000000,0.001 BTCB|bsc,0x9ea7beb4a36469e00bb30dbac75e93672441b483d519556ba9d1424b9294eae5,
0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,Ethereum,850000000000000000,0.85 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,
0x0000000000000000000000000000000000000000,0xc5ba95d8d7a85b89b8496a736cca9d95d0450d8e,Ethereum,13000000000000000000,13.0 ETH|eth,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x11af340398c8c8213d3780ef422b4a9a59765846,Ethereum,446929827,446.929827 USDC|eth,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,Ethereum,9795272451,9795.272451 USDC|eth,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,
