source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.8 ETH|eth,800000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x1e074ec5612ab20e2fc3fb12be2d273dbbf680d9ece4043b26abd5288ea44227,
Ethereum,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.05 ETH|eth,50000000000000000,0x9657b32fcdc463e13ec9205914fd91c443822a949937ae94add9869e7f2e1de8,0x1e074ec5612ab20e2fc3fb12be2d273dbbf680d9ece4043b26abd5288ea44227,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,1255.942384 USDC|eth,1255942384,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x1e074ec5612ab20e2fc3fb12be2d273dbbf680d9ece4043b26abd5288ea44227,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,539.330067 USDC|eth,539330067,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x1e074ec5612ab20e2fc3fb12be2d273dbbf680d9ece4043b26abd5288ea44227,
Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5fb45a090fa369bf17079c3c138ee2419caad38e,8000.0 USDC|eth,8000000000,0x5c4ac961a2428137f27271cf2af205e5c55156d26d9ac285ed3170e8c4cc1501,0x1e074ec5612ab20e2fc3fb12be2d273dbbf680d9ece4043b26abd5288ea44227,
BSC,0x0000000000000000000000000000000000000000,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.3 BNB|bsc,300000000000000000,0x578cd6ab8c0800e6fbc17b58633857dac5626883af89f842e79cb8f7af24de75,0x1e074ec5612ab20e2fc3fb12be2d273dbbf680d9ece4043b26abd5288ea44227,
BSC,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0x5fb45a090fa369bf17079c3c138ee2419caad38e,0.001 BTCB|bsc,1000000000000000,0x9ea7beb4a36469e00bb30dbac75e93672441b483d519556ba9d1424b9294eae5,0x1e074ec5612ab20e2fc3fb12be2d273dbbf680d9ece4043b26abd5288ea44227,
